Next Level: T_Level3
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Z				1	1				*			1	1	1	1	1	1	1	1	1	1	1	1	1	1	1			X	1	1	1	1	1
1	1	1	2	2	2	2	2	2	2	2	2	1	1	1									Z				1	1	1	1	1	1	1	1	1	1	1	1	1	1		!	*			1	1	1	1
1	1	1	2	@	a	s	d	f	!	@	2	1	1	1					1	1					!		1	1	1	1	1	1	1	1	1	1	1	1	1					X			1	1	1
1	1	1	2		!						2	2	2	2	1	1	1	1	1	1	*						1	@		*				1	1	1	1	1							*			1	1
1	1	1	2				!																	!				*				!		1	1	1	1	@		X		*				*			1
1	1	1	2							!	2	2	2	2	2	1	1	1	1	1		!				Z					Z																		1
1	1	2	2		O		2				2	1	1	1	1	1	1	1	1	1	*			*					*			*		1	1	1	1	@						*	X	!	X		1
1	1	2	2			!	2				2	1	1	1	1	1	1	1	1	1	Z						1	@			!			1	1	1	1	1		!	*							1	1
2	2	2	2				2	2			2	2	2	2	!		*		1	1	@					Z	1	1	1	1	1	1	1	1	1	1	1	1	1				X		*		1	1	1
2			]																				*				1	1	1	1	1	1	1	1	1	1	1	1	1	1		*		!		1	1	1	1
2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	*	!	D	d	1	1	@				*		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1			*	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
