2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	e	1	e		e	1	h	1	a	h	a	e	1	e	1	1	h	h	e			1	e	e	2
2				1				1	b	a	b	1	1			1	b	b	e			1	1		2
2		1		1				1	1	h	1					1	1	1	1	1		1			2
2		1		1		1		e	1	e	e				1	1						1		1	2
2		1		1		1			1		1		1		e	1			1			1			2
2		1	e	1		1	e		1		1		1	e		1			e			b			2
2	e			1		1	h	e	e		1	e	1	1	e	1						1			2
2		1		1					e	1	1		1	1		1				e		h			2
2		1		1					e				1	1		1	1		1	1		1	1	e	2
2		1	b	1		1	1	e	1				1	1		1	e		e	1	a	1	e	e	2
2	e		e	1		1	1		1	e			1	1	e	1	e		e	1		1		1	2
2	1	1		1		1	1		1	1	1	h	1	1		1	e		e	1		1	e	1	2
2	b	a		1					1	e	1		1		b	1	1	1	1	1		1		1	2
2	p	b		1	b				1				1		1	1	1	a	a	1		1	e	1	2
2	b	h		1	e	e	a	e	1				1			e		b	b			1		1	2
2	1	1	1	1	1	1	1	1	1	1	1	1	1			e		b	h	1		1	e	1	2
2	b	1									1	1	1		1	1	1	h	h	1		1		1	2
2	b	1	e	1	1	1		1					1		e	1	1	1	1	1		1	e	1	2
2	b	1	b	1	e						e		1	e		1	e		e	1		1		1	2
2		1		1			e	1			e		1		e	1	e		e	1		1	e	1	2
2	e			1				1					1	e		1	e		e	1	a	1		e	2
2		1				1		1	e	1	1		1		e	1	1		1	1		1	1	e	2
2		1	e			1							1	e		1	1		1	1		b			2
2		1			1	1			1	e		e	1		e	1	1		1			1			2
2					e	1		1					1	e		1						1			2
2	e		e	1		1		1			e		1		e	1		e		e		1		1	2
2		1		1	b	1		1		1	1		1	e		1						1			2
2		1		1				a			1		1		e	1				1		1	1		2
2	h		e				b	b	1			h	1	e		1		e		1		1	e	e	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
