1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1		c	2	c							1		2	2	b	b	1
1	p										1		2	2	m	m	1
1		c	2	c												c	1
1	2	2	2	2	2	2	2	2	2		1		2	2	h	a	1
1	e								2		1		2	2	h	a	1
1	1	1	1	c					2		1		2	2	2	2	1
1	e								2		1		1	1	e	e	1
1	1	1	1	1	c				2		1		1	1	1		1
1	e										1						1
1	1	1	1	1	1	c					1	1	1	1		e	1
1	e								2		1	m	m	1			1
1	1	1	1	1	1	1	c		2		1	m	m	1		e	1
1	e								2					1	c		1
1	1	1	1	1	1	1	1		2		1	b	b	1	1		1
1	e								2	c	1	b	b	1	e	e	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
