Weapon: Automatic Rifle,Unlocked,360,30
Weapon: Double Shotgun,Unlocked,60,2
Weapon: Revolver,Unlocked,48,8
Next Level: Level5
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1		!		@	1				1					1				!					Z											1	1	1	1	1
1	1					O								1		1		@	1				Z							X					!				1	1	1	1	1
1	1	1	1	1	1				@	1		!				1										!		C						Z					1	1	1	1	1
1	1	1	1	1	1	1		1	1	1				1		1		@	1							Z						!							1	1	1	1	1
1	1		Z								Z		Z	1					1			Z	!								X		Z					*	1	1	1	1	1
1	1			Z	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1				1	1	[	1			1	1	1	1	1
1	1	Z			1	1	1	1	1							1	1	1	1	1	1	1	1	1	1	1	1	1	1				1	S	F	1	*		1	1	1	1	1
1	#		*		#	1	1	1	1		1	1	1	1		1	1	1	1	1					Z				1				1	1	1	1			1	1	1	1	1
1				*		1		*				!		1		1	1	1	1	1							Z		1	q	#	w	1	1	1	1			1	1	1	1	1
1	#				#	1		!						1		1	1	1	1	1		Z			!				1	1	1	1	1	1	1	1		*	1	1	1	1	1
1						1	*				Z			1		#	q	w	1	#						Z			1	D		*		*			*		1	1	1	1	1
1	#				#	1	V	*					!	1									!									B	*						1	1	1	1	1
1		*				1	!							1		#	q	w	1	#	!			Z					1	D	*					*			1	1	1	1	1
1	#				#	1		Z					V	1	1	1	1	1	1	1					!		Z		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1			*			1						!	*	1	1	1	1	1	1	1			!				!			*		!			1	1	1	1	1	1	1	1	1
1	#				#	1		!				Z		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1				*	!	1	1	1	1	1	1	1	1	1
1						1	1	1	1		1	1	1	1					Z	1	V				1	1	1	1	1	!	S		!	q	1	1	1	1	1	1	1	1	1
1	#	S	f	F	#	1						1				Z				1		X					1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1						1		Z						1					V		1	1	1	#	S	#	1				1		z	V	1	1	1
1	1	X										1				1	1		1	1	Z					X	1	1	1		Z		1				1			z	1	-	1
1	1						X		!			1			Z	1	!		!	1							1	1	1	1		1	1	1		1	1				1	[	1
1	1				1	1	1	1				1	1			1	q	Z	w	1		X			Z														Z			Z	1
1	1	1			1	1	1	1			X	1				1	q	F	w	1							1	1	1	1		1	1	1		1	1			Z	1		1
1	D	D		!			S	1	1	1	1	1		1	1	1	1	1	1	1							1	1	1	q			1	w			1				1		1
1						!	F	1										B	1	1				Z			1	1	1		Z		1		Z		1	V		z	1		1
1		!					@	1					*					@	1							X	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1
1	!													B													1				X			Z						1	@		1
1			!				@	1			C			*				@	1	1							1		B				Z					1					1
1	q	w			!		!	1									C		1	1				X			1			Z				Z		Z		1		1	@		1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1		X						1	S	1	1	1	1
								1																		Z				1					B			1	#	1	1	1	1
								1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
