Weapon: Automatic Rifle,Unlocked,360,30
Weapon: Double Shotgun,Unlocked,60,2
Weapon: Revolver,Unlocked,48,8
Next Level: T_Level2
1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1												1		2	]	2		1												1
1										1		1		2		2	[	2		1										1
1					V					1										1					B					1
1										1		1						1		1										1
1												1						1												1
1	1	1	1	1	1	1	1	1	1	1	1	1						1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1						1	1	1	1	1	1	1	1	1	1	1	1	1
1												1						1												1
1										1		1						1		1										1
1					C					1										1					N					1
1										1		1						1		1										1
1												1						1												1
1	1	1	1	1	1	1	1	1	1	1	1	1			O			1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1						1	1	1	1	1	1	1	1	1	1	1	1	1
1												1						1						w	w	w	w	w	w	1
1										1		1						1		1	F									1
1					X					1										1	F									1
1										1		1						1		1	F									1
1												1						1						q	q	q	q	q	q	1
1	1	1	1	1	1	1	1	1	1	1	1	1						1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1						1	1	1	1	1	1	1	1	1	1	1	1	1
1												1						1						@		@		@		1
1										1		1						1		1	!								!	1
1					Z					1										1	!									1
1										1		1						1		1	!								!	1
1												1						1						#		#		#		1
1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
