1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	a	h	e				e							e	2			e	b	1
1	b	b	2							e					2		2	h	b	1
1	2	2	2			2	2	2		2	2	2	a		2		2	a	b	1
1	e				e	2	2	2		b	a	2	2		2		2	2	2	1
1		b	2			b	b	e				e	2		2	e		2	2	1
1		2	2		2				2	2	2		2		2	e				1
1		2	2		2	b	2		2				2	b	2	2		2		1
1		b	2		2	b	2								e					1
1	e				2	e	2		e	e		1	1	b						1
1	2	2	2		2		2	2				e	1	b		2	e	2	e	1
1					2		2	2		1	1		1			b	2	2		1
1			2	h	2		2	2	b	1	1		1			2	e	2	e	1
1	e		2	a			2	2	b				1		e	2	b	2		1
1	e	e	2	b	2					h										1
1	e		2	b	2	b								1		2	2	2		1
1	e		2		2		2		1	1	1			1		2		e		1
1							2		1	1	1		e	1		2		2		1
1		2		2			2	b	1	1				1		2		2		1
1		2		2	b		2		h	1				1		2		e		1
1		2		2	b		2	e	a	1		2					b	b		1
1	e	2		2			2	b	1	1		2			2	2	2	2		1
1												2		e					e	1
1			2	2		e	2		e			2		2		2	2	2		1
1				2	a	2	2	b						2		2	a	2		1
1	e	e		2	b	2	2	b		2	2	2		2			b	2		1
1		e								2	2	2		2		2	b	2		1
1		2	2	2		e	2	b	e	2	2	2	e	2		2	p	2		1
1		2	h	e		2	2	2		2	2	2		2		2	2	2		1
1		2	b	2	b	2	2	2		2	2	2		2					b	1
1	e	2	a	e			e			a	e		b		e			b	a	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
