1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	2	2	2	2	S		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1			1
1	2	2	2				1	1	1	1	1			Z		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1		1	1	1		!	1
1	O						1	1	1	1	1	!				2					*										q			2	1	1	1		1	1	1			1
1	2	2	2	2	2										@	2			2		!		2			Z	2				2			2	1	1	1		1	1	1			1
1	2	2	2	2			1	1				Z							Z															2	1	1					1	!		1
1		Z	!				1	1	!		Z				@	2						Z				Z		*			!		Z	2	1	1					1			1
1	q		Z				1	1		*			Z			2																		2	1	1	Z		Z		1			1
1	1	1	1	1	1	1	1	1					!			2			2				2				2				2	w		2	1	1		Z		1	1			1
1	1	1	1	1	1	1	1	1								2				!														2	2	2	1		1	1	1		!	1
1	2	!	q	Z			2	1	1	1	1				*	2			*	Z					Z					Z				2										1
1	2	2	w		Z			2	1	1	1	2		*		2					Z											*		2					C					1
1		2	2						1	1	1	2	#	d	#	2			2				2				2		Z		2			2		2		2		2		2		1
1	Z		2	2	2	2		Z	1	1	1	2	!	D	!	2			w						C							!		2										1
1						2	Z		1	1	1	2	2	2	2	2	2	2	2	2	2	2	2				2	2	2	2	2	2	2	2										1
1	2	2							2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2		2	2	!		Z						2		2		2		2		1
1	w	2		Z	!			Z		2	1	1	1	1	1	1	1	1	1	1	1	2	2				2	2			!	Z		2	C									1
1	q	2	2			X					1	1	1	1	1	1	1	1	1	1	2	2			2			2	2					2										1
1	D	2	2		Z		X		Z		1	1	1	2	2	2	1	1	1	2	2								2	2	2	2	2	2		2		2		2		2		1
1		2	2								1	1	2	2			2	1	1	2		Z				Z				2	1	1	1	1										1
1	Z	2	2	!	X		Z	!			2	2	2					2	2	2					!					2	2	1	1	1	1						1	1		1
1		2	2																	!											2	2	S		1	1	1	1	1			1		1
1		2	2	X									!												Z		Z					2	2			1	1	1	1	1		1	1	1
1	Z	2	2	2		2	2	2	2	2	1	1	2				2	2	2	2			Z				!			2			2					X		1		1	q	1
1	Z	2	2	2						Z	1	1	2	2	2	2	1	1	1	2	2								2	2														1
1		2	2	2	Z			X	Z		1	1	1	1	1	1	1	1	1	1	2	2	2	2	2			2	2	2	2	2					X					X		1
1		2	2	S		2	2	2	2		1	1	1	1	1	1	1	1	1	1	1	2	2				2	2	2	2	2	2												1
1		2	2	2	2	2	2	2	2		1	1	1	1	1	1	1	1	1	!	q	w	2		2	2	2	2	2	2	2	2		X						X				1
1			Z		Z						1	1	1	1	1	1	1	1	1	D								S	!	2	2	w										X		1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
